 Gender(0=Male;1=Female;) Height Weight Shoe_Size Shoe_Number Year(1=Fresh;2=Soph;3=Jun;4=Sen;5=Grad;) Pets Sibs Speed Cash Sleep Mother_age Father_age Random_Number Love(0=V0;1=V1;2=few;3=dozens;4=hundreds;5=thousands;6=millions;) Charity 
V354 1 65 175 7.5 7 2 2 6 92 30 7 52 56 7 1 100 
V355 1 62 110 7 30 2 0 1 80 20 7 45 50 10 1 95 
V356 1 64 130 6.5 23 2 3 2 105 18 7 53 54 8 3 90 
V357 1 67 127 8 25 1 1 4 90 70 7 51 53 3 2 70 
V358 1 67 150 9 20 2 0 2 75 150 7 46 43 4 2 70 
V359 0 72 156 10.5 9 3 7 2 130 2 7 47 48 4 1 100 
V360 0 73 150 10.5 6 3 4 1 125 5 7 49 53 6 3 33 
V361 0 73 172 12 5 3 5 1 110 15 7 51 52 5 4 10 
V362 0 66 162 9.5 8 2 2 3 45 10 7 51 60 6 2 40 
V363 0 75 182 13.5 5 2 5 2 115 130 7 38 42 7 2 100 
V364 1 65 130 7 20 1 9 4 85 25 7 49 50 2 2 100 
V365 0 73 186 13 4 2 0 2 80 66 7 48 53 9 2 97 
V366 1 65 124 9 15 2 1 2 100 100 7 42 47 5 2 30 
V367 1 63 115 7.5 70 3 3 3 97 130 7 50 51 5 2 65 
V368 1 66 200 8 10 1 7 2 100 20 7 50 55 8 3 50 
V369 1 65 110 8 10 2 0 1 80 5 7 41 44 8 1 90 
V370 0 70 170 9.5 4 1 1 1 75 50 7 46 50 8 2 100 
V371 1 68 128 9.5 12 1 0 2 85 10 7 48 51 8 1 95 
V372 1 67 145 9 23 2 3 1 95 97 7 43 44 1 1 10 
V373 1 62 133 7.5 17 2 3 3 97 0 7 47 47 3 1 60 
V374 1 67 112 7 24 1 1 4 93 0 7 48 47 3 2 90 
V375 0 66 175 10 5 2 3 1 120 0 7 45 44 4 0 90 
V376 1 63 105 7.5 15 2 1 0 110 200 7 56 49 8 2 50 
V377 1 64 140 6.5 13 1 2 1 75 300 7 48 54 3 2 50 
V378 1 63 140 7.5 14 4 3 1 80 22 7 51 47 8 2 92 
V379 1 68 115 8.5 25 2 2 4 90 20 7 56 60 6 4 90 
V380 0 71 123 9.5 9 4 0 1 130 107 7 48 49 6 0 20 
V381 1 65 115 8 6 1 5 1 80 26 7 44 45 1 0 90 
V382 1 64 155 7 50 1 3 3 100 45 7 41 42 2 2 70 
V383 1 70 175 9.5 30 2 1 3 115 0 7 58 57 5 4 50 
V384 0 69 132 8.5 5 1 0 2 95 20 7 45 51 8 5 25 
V385 0 67 151 9.5 8 1 1 1 93 100 7 50 50 8 3 50 
V386 0 72 160 10 12 2 4 3 100 15 7 50 51 9 5 10 
V387 0 71 165 10.5 7 2 6 1 85 100 7 50 53 4 2 50 
V388 1 60 121 5.5 13 2 1 1 85 42 7 53 53 3 2 50 
V389 1 63 145 8 20 4 7 2 87 20 7 48 48 4 2 60 
V390 1 63 125 7.5 15 1 0 3 75 60 7 55 60 9 2 50 
V391 1 63 125 8 26 1 3 1 112 17 7 52 50 3 1 50 
V392 0 74 145 12 2 2 8 3 45 105 7 50 62 6 2 100 
V393 1 68 150 10.5 12 3 2 2 85 21 7 51 53 4 2 75 
V394 1 66 136 7.5 6 2 3 0 100 0 7 40 41 1 1 25 
V395 1 68 135 11 10 2 4 3 90 10 7 57 57 8 2 100 
V396 1 70 155 10 8 4 2 2 90 25 7 51 54 4 1 50 
V397 0 71 170 12 5 1 1 3 80 200 7 49 49 4 3 95 
V398 0 75 230 12.5 10 1 1 2 90 40 7 52 53 7 2 25 
V399 0 68 150 11 10 4 4 1 110 200 7 50 50 10 5 5 
V400 0 68 155 8.5 3 1 0 2 110 5 7 40 48 1 6 20 
V401 1 64 118 7.5 20 1 0 1 85 30 7 49 55 4 1 95 
V402 1 64 120 6.5 20 1 0 2 80 0 7 57 52 5 2 100 
V403 1 66 180 10 8 1 1 2 100 200 7 53 56 6 2 60 
V404 0 67 205 11.5 5 2 6 2 120 50 7 57 56 2 4 20 
V405 0 72 205 11 3 3 2 5 100 0 7 48 49 3 1 30 
V406 0 68 150 10 2 2 6 4 120 10 7 50 51 5 5 60 
V407 0 73 260 13 4 2 1 2 70 108 7 41 41 5 1 70 
V408 1 63 120 7.5 10 4 2 3 90 25 7 53 54 2 1 80 
V409 1 67 150 9 20 1 3 1 90 0 7 44 46 3 1 100 
V410 1 66 116 8 20 2 2 1 90 45 7 48 49 2 1 60 
V411 1 67 126 8 5 1 1 1 130 200 7 47 51 3 2 10 
V412 1 65 130 8 15 2 1 3 80 20 7 49 51 3 1 50 
V413 1 63 108 5.5 100 2 4 0 40 50 7 49 47 3 1 60 
V414 1 61 138 7 10 2 6 6 85 0 7 54 63 8 1 50 
V415 0 69 222 10 2 1 0 1 105 150 7 51 54 10 2 50 
V416 1 64 115 7.5 10 1 2 1 90 43 7 58 58 5 2 90 
V417 1 69 115 6 10 2 10 1 92 20 7 47 65 7 0 75 
V418 1 60 98 5.5 20 2 0 2 60 5 7 56 65 3 6 25 
V419 1 67 125 7.5 12 2 2 2 100 19 7 47 46 2 4 15 
V420 0 67 155 10.5 8 1 1 1 90 87 7 40 39 9 2 50 
V421 1 62 150 8 3 1 3 2 60 10 7 43 44 7 2 100 
V422 1 66 136 9.5 12 2 6 3 100 15 7 57 62 3 3 100 
V423 1 66 150 9 10 1 2 1 110 11 7 44 48 3 2 5 
V424 1 64 150 8 25 2 2 1 110 40 7 52 52 4 2 50 
V425 1 64 110 7.5 24 1 1 3 70 20 7 49 49 2 2 100 
V426 1 68 147 9.5 30 2 0 0 85 50 7.5 55 57 2 2 25 
V427 0 74 275 13 5 2 0 2 80 30 7.5 50 53 8 2 50 
V428 1 65 109 8 23 2 0 2 108 95 7.5 49 59 8 1 15 
V429 1 63 122 8 15 2 0 2 95 46 7.5 45 61 9 1 50 
V430 0 72 188 10 14 2 5 2 125 2 7.5 45 46 2 5 15 
V431 1 66 145 8.5 14 3 18 3 93 71 7.5 47 47 6 2 50 
V432 1 68 124 8.5 35 1 7 1 90 0 7.5 51 56 8 4 100 
V433 1 67 130 8 15 1 7 5 92 25 7.5 37 41 8 2 75 
V434 1 64 130 8.5 10 1 0 1 70 150 7.5 51 51 4 1 20 
V435 0 70 155 10.5 8 3 1 2 90 50 7.5 47 48 5 6 90 
V436 1 64 112 8.5 18 1 3 2 95 61 7.5 44 49 5 5 80 
V437 1 67 120 7.5 15 1 3 2 87 22 7.5 52 52 3 3 45 
V438 1 63 142 8 20 2 4 1 110 0 7.5 44 45 5 0 75 
V439 0 72 225 13 4 1 0 3 95 25 7.5 47 47 3 2 50 
V440 0 71 160 11 9 2 4 1 90 1 7.5 54 49 5 2 50 
V441 0 67 135 9.5 6 1 0 1 75 45 7.5 51 56 4 3 30 
V442 0 70 175 11 6 2 0 2 110 0 7.5 51 52 3 1 100 
V443 0 68 180 11 4 4 1 1 44 8 7.5 50 54 10 2 95 
V444 0 71 265 13 3 1 3 2 95 62 7.5 50 55 5 2 100 
V445 1 62 120 7.5 20 2 7 2 90 60 7.5 37 39 10 2 100 
V446 1 65 125 7.5 15 3 10 3 96 120 7.5 48 46 6 1 16 
V447 1 64 130 8 12 1 1 1 100 20 7.5 57 53 3 1 100 
V448 1 64 120 7 16 3 8 0 87 35 7.5 45 50 6 2 65 
V449 1 61 115 6 15 1 2 2 90 50 7.5 47 48 9 3 80 
V450 0 72 170 9.5 10 2 0 0 30 150 7.5 50 54 1 6 15 
V451 1 65 113 8 10 1 1 2 70 35 7.5 50 50 7 2 90 
V452 1 77 94 7 7 2 0 2 20 88 7.5 46 49 1 1 30 
V453 1 65 122 8 12 3 2 2 80 45 7.5 55 63 2 1 75 
V454 1 63 120 7 16 1 5 1 95 5 7.5 39 38 2 2 100 
V455 0 66 159 9.5 3 2 0 1 77 25 7.5 50 54 1 2 100 
V456 0 71 187 10 3 2 4 1 115 300 7.5 53 53 7 5 5 
V457 0 69 232 11.5 2 2 0 1 70 12 7.5 43 50 2 4 10 
V458 0 66 110 8.5 8 2 0 0 100 10 7.5 46 60 3 2 75 
V459 1 66 134 8.5 10 1 0 1 105 35 7.5 50 49 8 1 25 
V460 1 66 130 7.5 15 1 1 1 85 0 7.5 45 45 2 2 50 
V461 0 78 245 14 9 1 1 1 95 200 7.5 53 51 10 1 100 
V462 1 68 160 9 11 2 7 5 90 60 7.5 41 55 6 4 90 
V463 1 62 120 6 9 2 17 4 135 9 7.5 56 52 10 3 99 
V464 0 69 145 9.5 8 3 2 2 85 37 7.5 55 59 8 1 50 
V465 0 71 165 11 5 1 2 2 95 80 7.5 53 54 5 2 100 
V466 0 68 160 10 4 2 3 1 90 10 7.5 52 52 4 5 25 
V467 1 68 155 9.5 14 2 3 2 80 50 7.5 47 49 3 2 50 
V468 0 71 216 11 12 2 2 1 128 104 7.5 50 50 3 6 40 
V469 1 60 107 5.5 10 2 1 1 70 80 7.5 51 47 5 2 50 
V470 0 74 176 13 5 1 0 1 100 3 7.5 53 54 5 2 75 
V471 0 67 155 10 4 3 2 1 90 40 7.5 51 52 6 5 75 
V472 1 67 145 8.5 10 2 3 2 80 45 7.5 50 50 2 2 75 
V473 0 72 210 13 20 2 0 2 90 20 7.5 57 58 6 4 90 
V474 1 64 120 8.5 14 1 1 1 85 52 7.5 45 51 3 1 90 
V475 0 74 200 13 9 1 12 4 45 13 7.5 49 54 4 4 60 
V476 0 76 245 14 7 1 1 3 115 53 7.5 52 51 6 1 95 
V477 1 63 115 8 10 1 4 1 100 22 7.5 50 56 8 2 50 
V478 0 72 180 11 4 4 1 5 110 150 7.5 40 55 4 2 75 
V479 1 64 140 7.5 20 1 2 0 85 53 7.5 47 49 8 1 10 
V480 0 73 178 11.5 6 2 10 3 120 27 7.5 37 39 2 1 90 
V481 1 63 139 5.5 9 4 2 1 110 20 7.5 53 52 4 1 100 
V482 1 70 148 8.5 12 2 4 1 90 0 7.5 42 49 9 2 100 
V483 1 64 138 8.5 14 2 0 2 84 200 7.5 39 45 3 2 100 
V484 1 63 137 8.5 10 2 1 3 80 8 7.5 39 38 6 2 34 
V485 1 67 150 9.5 9 2 1 1 88 35 7.5 47 63 4 2 45 
V486 1 63 180 7 5 2 2 5 37 13 7.5 49 48 3 1 90 
V487 1 60 113 7 18 2 0 4 90 52 7.5 48 49 10 3 100 
V488 0 68 195 11.5 5 1 1 2 75 20 7.5 51 62 4 1 50 
V489 0 71 145 10 4 2 2 0 75 150 7.5 58 58 3 3 25 
V490 0 73 180 10.5 6 1 0 3 45 200 7.5 41 41 5 1 100 
V491 1 61 116 6.5 15 3 4 2 85 27 7.5 49 50 10 3 30 
V492 1 64 125 9 7 3 0 1 75 50 7.5 51 53 8 2 20 
V493 1 66 140 9.5 16 2 8 0 75 40 7.5 55 63 9 2 80 
V494 1 64 115 10 10 4 12 1 90 10 7.5 55 63 4 2 100 
V495 0 72 227 11 3 4 4 3 100 15 7.5 51 53 4 1 100 
V496 1 60 114 6.5 25 3 1 3 85 40 7.5 46 55 5 2 85 
V497 1 68 185 9.5 20 2 1 1 85 5 7.5 43 43 8 2 4 
V498 0 71 190 11.5 9 1 0 1 128 40 7.5 50 49 4 2 75 
V499 1 62 95 6 20 4 1 2 85 50 7.5 52 52 2 1 50 
V500 1 66 128 8 15 2 5 4 80 5 7.5 57 65 3 2 40 
V501 1 68 119 8 40 1 1 1 90 15 7.5 49 51 4 1 75 
V502 1 62 128 8.5 8 2 1 5 40 60 7.5 41 43 2 4 100 
V503 0 69 230 13 7 1 0 1 93 27 7.5 48 53 6 2 3 
V504 1 64 148 9 13 2 0 1 95 5 7.5 51 54 4 1 20 
V505 1 64 122 7 20 3 1 1 80 15 7.5 39 40 2 2 25 
V506 1 61 106 6 15 3 5 1 95 1 8 52 54 9 3 50 
V507 0 71 147 11 4 1 1 1 88 45 8 52 52 9 2 60 
V508 1 63 108 8.5 15 2 0 3 90 20 8 50 52 6 2 80 
V509 1 68 160 10 14 4 0 0 80 100 8 51 61 4 5 100 
V510 1 65 140 9 7 2 1 1 75 2 8 45 50 3 2 100 
V511 1 62 132 6 22 1 1 1 92 16 8 51 51 8 1 50 
V512 1 63 135 9 30 3 2 1 95 22 8 59 57 9 2 20 
V513 1 66 135 8 21 1 4 1 90 44 8 52 52 4 2 78 
V514 0 68 174 9 5 1 0 2 101 0 8 51 51 4 2 26 
V515 0 72 175 11 7 2 2 1 70 84 8 48 52 6 1 30 
V516 1 68 118 7.5 20 3 4 2 110 20 8 51 53 4 4 50 
V517 0 72 145 8.5 5 2 3 1 30 10 8 51 53 3 2 100 
V518 1 65 120 8.5 15 2 2 2 85 140 8 46 60 4 1 50 
V519 1 62 101 6.5 13 4 0 1 80 0 8 52 59 6 1 75 
V520 1 65 127 9.5 20 2 1 2 90 30 8 57 58 9 2 50 
V521 1 63 125 8 9 4 0 1 80 15 8 55 52 6 2 50 
V522 1 64 135 8 30 1 1 2 80 100 8 53 52 2 5 100 
V523 1 63 140 7.5 15 3 2 1 115 30 8 46 46 8 1 100 
V524 1 66 140 8 10 1 2 2 90 10 8 49 55 10 2 50 
V525 1 61 105 7 13 1 1 1 81 15 8 50 52 4 3 1 
V526 1 63 133 8 15 3 1 0 60 120 8 48 49 8 2 20 
V527 0 67 140 10 3 1 0 2 90 12 8 47 48 8 4 90 
V528 1 66 160 8.5 26 1 0 2 101 17 8 47 49 8 3 30 
V529 1 64 149 8.5 20 1 2 1 80 35 8 49 55 9 2 45 
V530 1 66 210 9 13 3 6 4 95 2 8 51 53 3 5 50 
V531 0 73 240 13 4 2 0 1 100 5 8 50 54 4 2 28 
V532 1 67 129 9 20 1 2 2 90 25 8 48 49 4 2 95 
V533 1 64 155 8 10 2 30 2 115 6 8 50 57 8 2 100 
V534 1 64 115 6 20 4 7 2 100 0 8 50 56 1 2 50 
V535 1 65 100 5.5 40 2 1 1 80 700 8 53 57 5 6 10 
V536 1 67 100 7 100 3 1 2 90 80 8 47 50 8 1 50 
V537 0 68 160 10.5 3 1 3 1 115 35 8 39 44 2 5 2 
V538 1 65 160 8.5 16 3 0 2 90 15 8 46 55 5 2 80 
V539 0 72 154 10 10 2 2 1 130 150 8 52 57 1 2 30 
V540 1 59 146 8 24 2 8 4 85 18 8 55 53 3 4 100 
V541 1 71 250 12 25 3 30 1 90 200 8 50 54 9 2 85 
V542 1 66 125 7.5 30 1 1 1 95 40 8 49 50 6 2 100 
V543 1 68 124 6.5 25 2 7 1 90 45 8 51 55 8 3 50 
V544 1 66 115 8 30 2 3 2 90 40 8 50 51 6 2 20 
V545 1 67 164 8.5 21 2 4 2 40 500 8 50 52 1 2 50 
V546 1 64 113 7 7 1 0 2 90 0 8 45 55 10 2 60 
V547 0 68 130 9 3 1 1 1 100 12 8 50 49 4 3 45 
V548 1 64 125 7.5 60 2 9 5 90 4 8 52 50 3 2 100 
V549 1 66 122 9 20 1 5 1 74 10 8 43 45 3 1 60 
V550 1 61 96 6 15 2 3 0 85 200 8 41 45 6 2 20 
V551 1 62 110 5.5 40 2 3 1 90 70 8 48 49 6 4 50 
V552 1 66 128 7.5 17 2 6 4 100 5 8 45 41 3 1 70 
V553 1 65 115 8.5 31 1 3 1 90 120 8 56 64 4 2 70 
V554 1 64 120 6.5 11 2 0 1 90 85 8 51 51 8 2 60 
V555 1 65 130 8.5 12 2 0 2 100 41 8 52 55 8 1 100 
V556 1 72 140 11 14 3 13 2 100 0 8 59 60 8 2 50 
V557 1 64 118 8 7 1 1 1 90 300 8 47 48 2 2 40 
V558 1 65 140 7.5 30 1 1 1 100 3 8 50 57 2 2 75 
V559 0 72 206 10 3 1 0 2 110 140 8 46 52 8 1 80 
V560 1 67 134 7.5 12 2 6 2 97 7 8 50 64 6 2 70 
V561 0 67 180 11 6 2 0 1 115 50 8 54 50 8 2 75 
V562 0 69 172 9.5 4 2 2 2 110 150 8 56 56 5 2 50 
V563 1 68 130 8.5 15 3 15 1 85 20 8 51 53 6 1 0 
V564 0 72 180 12 3 2 0 3 120 50 8 48 60 7 2 50 
V565 0 72 167 13 6 2 2 1 93 48 8 47 50 6 2 92 
V566 0 71 158 10 2 2 0 1 82 7 8 59 57 6 1 80 
V567 1 62 115 6.5 10 2 0 2 60 20 8 45 50 3 2 40 
V568 0 70 170 10.5 5 1 3 4 105 0 8 49 52 10 6 100 
V569 1 65 125 7.5 8 2 5 2 35 70 8 46 46 10 2 100 
V570 1 64 130 8 8 4 0 0 65 40 8 45 53 1 6 25 
V571 1 58 110 7.5 30 1 1 1 80 0 8 48 48 8 2 75 
V572 1 62 150 7.5 30 2 0 3 103 20 8 53 53 4 6 90 
V573 0 70 215 12 6 2 2 1 110 32 8 53 53 5 4 10 
V574 1 69 145 9.5 14 1 3 2 95 80 8 47 50 6 1 50 
V575 1 64 100 6.5 17 1 2 1 90 33 8 49 51 4 2 50 
V576 1 62 104 7 15 1 1 2 85 30 8 55 61 2 1 60 
V577 0 65 135 9 4 2 9 3 70 300 8 58 65 4 2 20 
V578 0 68 164 11 12 1 0 0 83 110 8 44 44 8 1 50 
V579 1 62 104 6.5 40 3 4 1 91 30 8 65 64 8 1 50 
V580 1 75 175 12 12 1 11 3 100 1 8 44 43 6 2 100 
V581 1 65 130 8 30 4 10 3 95 1 8 45 47 5 3 10 
V582 0 64 120 7 4 2 1 1 75 100 8 51 52 5 5 75 
V583 1 66 135 8.5 34 1 1 1 95 110 8 48 57 3 2 50 
V584 1 67 135 8.5 20 1 3 1 105 86 8 46 47 6 1 6 
V585 1 63 135 8 12 2 0 2 80 40 8 46 51 5 3 100 
V586 1 66 145 8.5 15 3 4 1 85 12 8 50 52 2 2 30 
V587 0 75 145 11 3 1 2 2 70 200 8 42 46 5 2 70 
V588 1 67 170 9.5 8 2 0 1 100 100 8 52 50 3 2 25 
V589 1 64 130 8 10 1 1 2 100 40 8 56 56 8 2 90 
V590 1 67 252 9.5 10 4 8 2 85 40 8 46 47 2 3 100 
V591 1 67 120 7 12 1 1 1 80 45 8 52 51 8 2 10 
V592 1 66 145 8 6 2 2 1 85 10 8 49 56 3 2 60 
V593 0 70 166 9.5 7 1 1 1 120 26 8 51 50 4 3 50 
V594 0 69 177 11 5 2 0 2 97 0 8 56 56 9 1 90 
V595 0 70 205 10.5 10 1 1 0 90 120 8 43 45 8 3 63 
V596 1 67 145 9 24 2 3 1 90 200 8 62 60 9 1 100 
V597 1 66 164 9.5 12 2 1 2 90 10 8 43 42 2 1 75 
V598 0 72 155 11 2 2 1 2 120 150 8 46 47 1 1 80 
V599 0 69 102 11 6 2 0 0 40 110 8 49 49 2 3 0 
V600 1 64 117 8 35 2 2 0 120 130 8 52 52 8 2 75 
V601 1 65 140 8 15 2 2 6 100 25 8 50 51 5 2 100 
V602 1 61 124 7 15 1 0 3 95 30 8 47 47 5 1 100 
V603 0 74 245 13 3 2 3 1 95 59 8 49 49 8 2 50 
V604 1 68 127 10 20 2 1 1 70 150 8 53 54 6 2 80 
V605 1 69 155 9.5 20 2 4 5 90 1000 8 58 65 8 2 50 
V606 1 64 133 10 20 3 10 1 90 3 8 46 49 6 1 100 
V607 1 62 150 8 20 2 3 1 90 40 8 48 49 3 3 60 
V608 1 68 170 10 25 2 1 1 105 150 8 54 55 5 1 100 
V609 0 67 128 12 6 1 0 1 100 70 8 44 46 8 2 20 
V610 1 64 125 8.5 15 2 5 3 75 73 8 50 53 1 1 28 
V611 1 70 140 8 15 1 2 1 135 5 8 50 50 6 2 0 
V612 1 69 120 8.5 6 3 0 2 80 20 8 51 52 1 1 25 
V613 1 62 100 7 7 2 3 2 80 6 8 40 44 3 1 50 
V614 1 65 105 7 50 4 3 2 90 10 8 45 45 7 1 10 
V615 0 71 155 11 5 3 0 1 100 20 8 46 59 1 2 50 
V616 0 81 215 15 3 1 0 2 75 60 8 42 43 10 1 90 
V617 1 64 110 6.5 50 1 2 1 75 74 8 45 46 4 1 50 
V618 1 62 100 7.5 10 2 1 1 60 20 8 53 62 6 1 95 
V619 0 68 118 9 5 1 0 1 75 35 8 43 48 2 2 100 
V620 1 63 110 7 9 1 2 2 110 10 8 55 57 5 4 10 
V621 1 65 120 8.5 30 1 0 0 40 1 8 42 45 8 4 25 
V622 0 73 255 13 12 2 4 5 130 0 8 44 46 2 1 75 
V623 1 61 110 7 18 1 0 2 80 200 8 51 54 8 4 75 
V624 0 75 220 13 3 4 5 2 92 80 8 49 58 4 1 25 
V625 1 65 120 9 10 1 1 0 80 80 8 46 46 3 2 40 
V626 1 63 178 9.5 7 2 16 5 73 4 8 40 41 3 2 100 
V627 1 66 150 10 14 2 0 1 85 8 8 51 56 9 2 75 
V628 1 61 114 6 20 2 2 1 92 0 8 50 52 5 2 50 
V629 1 61 152 7 8 1 4 3 85 32 8 51 53 9 1 25 
V630 1 65 117 6.5 60 4 2 2 95 100 8 47 47 4 5 50 
V631 1 63 103 7 25 2 4 0 81 200 8 57 58 6 2 90 
V632 1 68 165 9 20 1 0 2 80 3 8 45 55 9 2 85 
V633 1 66 140 8 12 1 0 3 115 60 8 48 51 6 5 20 
V634 1 66 150 9.5 30 1 3 9 70 2 8 40 53 7 2 75 
V635 1 60 110 6 30 2 0 2 90 30 8 50 50 4 4 55 
V636 1 65 135 7 10 1 2 1 65 110 8 50 53 6 2 50 
V637 0 71 210 10.5 9 4 0 2 120 20 8 52 55 8 2 90 
V638 0 69 155 10 10 1 2 1 95 50 8 44 45 4 2 10 
V639 0 64 145 10 4 2 9 3 60 100 8 55 62 3 6 5 
V640 1 67 125 8 16 2 5 3 80 23 8 53 51 4 2 40 
V641 0 71 150 10.5 7 2 2 3 110 0 8 53 54 5 1 100 
V642 1 66 120 9 21 3 4 1 85 19 8 53 54 8 2 15 
V643 1 64 140 7.5 15 2 1 1 90 8 8 53 53 6 2 50 
V644 1 63 130 7.5 22 1 2 1 85 20 8 46 47 9 1 90 
V645 1 59 114 5.5 15 2 0 1 80 140 8.5 53 52 2 2 15 
V646 0 70 170 9.5 7 3 3 1 148 25 8.5 41 45 9 6 10 
V647 0 73 180 13.5 4 2 1 4 95 7 8.5 60 63 10 1 100 
V648 1 63 138 7.5 15 2 0 2 92 200 8.5 46 53 3 2 75 
V649 1 61 106 7 12 2 5 1 95 10 8.5 52 51 8 2 80 
V650 1 66 157 9.5 30 4 1 1 98 60 8.5 52 52 8 3 90 
V651 0 72 145 11 7 2 3 1 100 60 8.5 44 48 9 2 25 
V652 1 63 135 9 15 2 2 1 110 20 8.5 53 54 5 2 75 
V653 1 63 95 7.5 12 1 3 1 60 75 8.5 51 51 10 2 25 
V654 0 74 200 13 14 2 0 4 82 17 8.5 55 60 3 2 60 
V655 1 63 135 7 14 4 1 2 90 300 8.5 52 54 1 2 50 
V656 1 67 110 7 25 1 0 1 100 3 8.5 49 46 4 2 50 
V657 1 66 138 9.5 5 2 4 1 100 5 8.5 51 53 8 4 50 
V658 0 72 130 11.5 6 1 0 2 140 300 8.5 56 58 4 3 80 
V659 1 62 110 7.5 19 2 0 4 60 0 8.5 54 64 5 2 75 
V660 1 69 135 8.5 27 4 12 2 115 0 8.5 55 54 5 3 5 
V661 1 67 140 9 30 2 12 2 85 0 8.5 61 61 9 2 60 
V662 1 75 120 7.5 16 2 5 2 115 200 8.5 50 50 7 2 50 
V663 1 69 145 9 20 2 4 1 115 80 8.5 50 54 8 1 60 
V664 1 65 160 9 7 2 5 2 103 0 8.5 40 47 9 2 85 
V665 0 72 197 12 2 2 4 3 120 300 8.5 52 50 10 1 100 
V666 1 69 160 8.5 13 1 5 1 80 11 8.5 53 51 8 2 70 
V667 1 67 140 8.5 5 2 1 0 100 5 8.5 37 35 8 2 50 
V668 1 63 121 6.5 11 2 6 1 90 0 8.5 63 60 8 2 100 
V669 1 64 125 8.5 15 1 2 3 90 50 8.5 45 57 2 2 80 
V670 1 64 121 8.5 11 2 1 0 65 13 8.5 45 65 10 2 17 
V671 1 63 160 8.5 10 3 2 1 60 18 8.5 39 42 8 2 60 
V672 1 64 140 8 14 2 1 1 80 200 8.5 47 49 2 2 15 
V673 0 67 138 9 2 1 0 1 70 40 8.5 50 52 8 2 20 
V674 1 63 137 7.5 12 1 10 2 90 38 8.5 39 40 6 1 10 
V675 0 67 160 9 7 3 1 3 110 2 8.5 53 56 3 2 45 
V676 1 69 124 8.5 11 4 2 3 95 12 8.5 62 65 2 2 50 
V677 1 63 120 7 15 3 5 3 105 7 8.5 56 64 1 1 75 
V678 0 75 195 12 1 1 2 1 60 96 9 57 57 7 2 50 
V679 1 68 154 8.5 10 4 0 1 100 42 9 51 52 9 2 100 
V680 0 76 200 13 1 2 3 2 120 300 9 55 56 8 3 50 
V681 1 64 130 8 18 1 2 2 80 35 9 50 49 3 1 85 
V682 1 73 175 11 6 4 2 1 100 50 9 53 56 4 1 100 
V683 1 69 145 8.5 12 2 0 2 100 40 9 47 49 2 2 95 
V684 1 61 130 4 40 3 4 2 90 150 9 50 52 8 2 80 
V685 0 68 140 7 3 1 1 1 80 32 9 49 54 10 3 1 
V686 1 70 200 10.5 4 2 2 3 100 150 9 50 50 5 2 90 
V687 0 76 180 15 20 2 0 3 110 0 9 52 50 2 2 100 
V688 0 72 186 11 4 4 7 2 115 26 9 54 52 4 5 80 
V689 0 67 120 8.5 6 2 1 1 30 20 9 55 57 3 1 10 
V690 1 61 102 6 27 1 3 2 80 29 9 44 44 4 2 90 
V691 1 63 115 8.5 30 1 3 2 85 28 9 52 55 2 2 50 
V692 1 63 97 6.5 10 2 0 1 20 100 9 50 56 3 1 50 
V693 1 64 114 6.5 8 1 2 1 70 75 9 47 48 5 1 75 
V694 1 63 110 7 6 1 0 2 85 50 9 42 53 9 1 50 
V695 0 72 155 11 5 1 1 3 85 120 9 55 55 5 5 40 
V696 1 69 164 9.5 17 2 3 3 101 34 9 50 51 3 2 89 
V697 1 63 99 6.5 5 1 4 1 50 200 9 46 47 2 3 15 
V698 1 65 138 9 20 1 6 1 110 5 9 46 46 8 1 50 
V699 1 70 100 8 27 1 6 3 84 140 9 49 48 4 2 95 
V700 1 67 135 9 70 2 2 0 101 17 9 56 57 8 2 60 
V701 1 67 129 7 13 1 1 2 110 69 9.5 46 46 6 1 5 
V702 1 78 190 14 25 1 5 2 90 50 9.5 51 52 9 2 70 
V703 0 73 180 11.5 8 4 7 1 95 20 9.5 55 48 3 1 50 
V704 1 62 115 6.5 25 3 7 4 80 8 9.5 45 56 5 2 50 
V705 1 69 130 9 23 1 4 1 90 10 10 50 50 4 2 50 
V706 1 65 145 8.5 15 2 3 1 95 31 10 49 51 4 3 85 
V707 1 63 145 9 10 1 4 1 87 95 10 46 51 8 2 30 
V708 0 73 165 10 10 2 1 0 140 13 10 46 51 3 1 21 
V709 1 66 206 8.5 14 2 2 1 77 60 10 46 47 6 1 40 
V710 1 68 140 10.5 10 2 1 3 110 300 10 56 55 6 1 85 
V711 0 71 170 9.5 17 2 1 1 108 25 11.5 52 52 5 3 20 
V712 1 65 123 8 18 1 2 2 102 57 7 53 52 6 2 18 
