 Gender(0=Male;1=Female;) Height Weight GenderxHgt HeightZ WeightZ Shoe_Size Shoe_Number GenderxShoe_Size Year(1=Fresh;2=Soph;3=Jun;4=Sen;5=V5;) Pets Sibs Speed Cash Sleep Mother_age Father_age Random_Number Love(0=V0;1=V1;2=few;3=dozens;4=hundreds;5=thousands;6=millions;) Charity 
V55 1 65 125 65 -0.48425296 -0.749831401 9 10 9 3 6 3 100 100 6.5 47 57 7 2 95 
V56 1 67 250 67 0.019652305 3.264427246 12 4 12 2 2 4 85 23 7 39 40 5 4 75 
V57 1 64 118 64 -0.736205593 -0.974629885 9 4 9 4 1 3 98 25 6.5 53 54 4 2 95 
V58 1 62 128 62 -1.240110859 -0.653489194 6.5 10 6.5 2 1 0 80 40 7 35 35 5 2 80 
V59 1 67 135 67 0.019652305 -0.428690709 9.5 35 9.5 2 1 2 112 300 7 47 51 9 6 50 
V60 1 63 200 63 -0.988158226 1.658723787 7 30 7 3 0 4 95 10 7.5 46 50 3 2 10 
V61 0 71 148 0 1.027462837 -0.01120781 11 4 0 3 14 2 83 37 7 54 56 9 3 30 
V62 1 68 152 68 0.271604938 0.117248467 10 30 10 2 3 1 90 2 8 51 52 7 2 15 
V63 0 72 205 0 1.27941547 1.819294133 12 4 0 2 2 2 90 20 7 46 49 8 3 25 
V64 1 67 152 67 0.019652305 0.117248467 7.5 70 7.5 2 10 0 120 1 6.5 54 56 2 2 50 
V65 0 72 225 0 1.27941547 2.461575516 11.5 7 0 2 5 5 102 22 5.5 50 48 3 2 50 
V66 0 70 185 0 0.775510204 1.177012749 11 5 0 2 0 0 85 1 7 55 56 2 1 5 
V67 1 68 160 68 0.271604938 0.37416102 9 30 9 2 3 3 115 60 8 54 60 7 2 70 
V68 1 65 139 65 -0.48425296 -0.300234433 8.5 22 8.5 2 0 2 92 43 8 43 45 8 1 90 
V69 1 68 120 68 0.271604938 -0.910401747 7.5 17 7.5 2 0 1 95 72 6.5 48 51 2 2 60 
V70 1 69 163 69 0.523557571 0.470503227 9.5 15 9.5 3 3 2 99 69 7.5 50 52 3 1 2 
V71 0 67 125 0 0.019652305 -0.749831401 7.5 4 0 2 5 1 100 50 7.5 43 49 3 1 50 
V72 1 63 114 63 -0.988158226 -1.103086162 7 10 7 2 0 2 85 50 9 52 52 8 1 5 
V73 1 61 119 61 -1.492063492 -0.942515816 7.5 5 7.5 2 2 3 90 200 8 57 55 7 2 75 
V74 1 67 143 67 0.019652305 -0.171778156 8 25 8 2 6 1 90 12 5 51 56 7 2 75 
V75 1 61 150 61 -1.492063492 0.053020328 8 12 8 2 0 2 20 140 7 46 54 6 2 2 
V76 1 62 110 62 -1.240110859 -1.231542439 7.5 12 7.5 2 0 1 90 11 5 49 48 8 2 75 
V77 0 68 158 0 0.271604938 0.309932882 10 5 0 2 0 3 72 12 7 50 51 5 2 10 
V78 1 67 125 67 0.019652305 -0.749831401 7.5 15 7.5 2 1 1 90 60 5 48 47 9 4 75 
V79 1 72 161 72 1.27941547 0.406275089 10.5 35 10.5 3 1 2 100 11 7.5 48 48 7 1 60 
V80 1 60 118 60 -1.744016125 -0.974629885 6 15 6 2 5 3 30 0 7 48 55 1 2 50 
V81 1 66 150 66 -0.232300328 0.053020328 8.5 30 8.5 2 10 1 95 14 6.5 45 45 8 1 45 
V82 1 62 105 62 -1.240110859 -1.392112785 7 15 7 3 10 1 80 100 8 48 55 6 1 30 
V83 1 59 120 59 -1.995968758 -0.910401747 6 12 6 1 0 2 80 100 6.5 48 50 8 2 50 
V84 1 65 127 65 -0.48425296 -0.685603263 9.5 17 9.5 2 4 1 90 15 7.5 56 55 8 2 0 
V85 1 59 117 59 -1.995968758 -1.006743955 6 25 6 2 3 2 90 0 6 51 50 4 1 100 
V86 1 67 160 67 0.019652305 0.37416102 10 25 10 4 2 1 120 42 8 56 56 7 2 80 
V87 1 67 125 67 0.019652305 -0.749831401 8.5 40 8.5 2 30 3 100 2 6 55 56 7 2 40 
V88 1 67 148 67 0.019652305 -0.01120781 9.5 15 9.5 3 2 1 100 0 6.5 51 53 4 1 90 
V89 1 62 211 62 -1.240110859 2.011978548 9 7 9 2 0 2 95 1 5.5 48 58 5 2 20 
V90 1 68 135 68 0.271604938 -0.428690709 9 15 9 2 2 1 90 20 8.5 54 57 2 1 50 
V91 0 69 180 0 0.523557571 1.016442403 10.5 2 0 1 1 1 85 300 7.5 45 50 4 3 51 
V92 0 74 160 0 1.783320736 0.37416102 12.5 5 0 2 0 0 65 25 7.5 50 57 6 4 10 
V93 1 62 105 62 -1.240110859 -1.392112785 8 6 8 3 8 0 110 0 8 52 50 4 2 55 
V94 1 63 105 63 -0.988158226 -1.392112785 6.5 6 6.5 4 0 1 95 300 5 49 56 4 5 60 
V95 0 71 175 0 1.027462837 0.855872058 10 5 0 3 2 2 90 0 8 45 48 6 2 50 
V96 1 62 148 62 -1.240110859 -0.01120781 6 70 6 2 0 1 100 300 6 48 49 5 1 100 
V97 0 66 130 0 -0.232300328 -0.589261055 12 4 0 2 0 2 65 5 7 55 56 4 2 100 
V98 1 64 105 64 -0.736205593 -1.392112785 7.5 12 7.5 4 2 1 38 0 7 44 45 8 1 40 
V99 0 66 135 0 -0.232300328 -0.428690709 9 8 0 2 2 3 80 0 8 54 56 7 2 50 
V100 1 62 96 62 -1.240110859 -1.681139407 7 6 7 2 2 1 60 40 8 49 54 2 3 40 
V101 1 65 145 65 -0.48425296 -0.107550018 8.5 8 8.5 2 1 1 91 30 7 46 48 5 2 90 
V102 0 75 200 0 2.035273369 1.658723787 11.5 9 0 1 2 1 120 13 8 44 48 5 2 30 
V103 0 65 214 0 -0.48425296 2.108320755 10.5 4 0 2 4 3 105 54 7.5 62 62 6 2 40 
V104 0 74 190 0 1.783320736 1.337583095 14 6 0 2 0 2 20 5 5 39 40 1 4 10 
V105 1 68 185 68 0.271604938 1.177012749 9 20 9 2 3 1 86 15 6 47 48 5 1 85 
V106 0 70 145 0 0.775510204 -0.107550018 10.5 9 0 4 17 3 160 200 8 59 58 6 6 0 
V107 0 70 200 0 0.775510204 1.658723787 10 5 0 2 4 2 95 25 7 47 50 2 6 100 
V108 0 70 155 0 0.775510204 0.213590674 10 5 0 2 2 3 105 5 7.5 51 52 8 2 25 
V109 0 72 140 0 1.27941547 -0.268120364 10 5 0 2 2 3 90 10 7.5 51 50 3 5 40 
V110 1 60 120 60 -1.744016125 -0.910401747 6.5 30 6.5 3 2 2 110 80 6 57 55 10 2 50 
V111 1 67 130 67 0.019652305 -0.589261055 8 6 8 3 3 3 85 0 8 53 65 3 2 90 
V112 1 66 144 66 -0.232300328 -0.139664087 8 18 8 2 2 1 85 15 7 54 54 3 5 100 
V113 0 75 290 0 2.035273369 4.548990013 13 8 0 2 1 1 90 3 6.5 52 50 7 2 5 
V114 1 66 133 66 -0.232300328 -0.492918848 9.5 40 9.5 2 2 2 90 30 7 45 45 8 2 90 
V115 0 73 170 0 1.531368103 0.695301712 13 4 0 2 3 2 70 18 7 50 56 6 4 50 
V116 1 70 300 70 0.775510204 4.870130704 10.5 5 10.5 2 2 2 80 50 7.5 40 45 7 4 100 
V117 1 64 135 64 -0.736205593 -0.428690709 7 15 7 2 3 1 100 90 9 44 46 4 1 20 
V118 1 66 128 66 -0.232300328 -0.653489194 8 35 8 2 4 1 105 80 8 42 42 8 2 90 
V119 1 63 135 63 -0.988158226 -0.428690709 7 16 7 2 0 2 90 38 7 43 42 7 2 20 
V120 1 63 150 63 -0.988158226 0.053020328 7.5 25 7.5 2 5 3 96 12 6.5 46 46 3 2 50 
V121 0 68 142 0 0.271604938 -0.203892225 9.5 3 0 2 3 1 100 0 7.5 50 53 8 2 13 
V122 1 69 140 69 0.523557571 -0.268120364 10 12 10 2 30 2 87 3 7.5 53 55 5 1 50 
V123 1 69 160 69 0.523557571 0.37416102 8 15 8 3 0 1 90 120 7.5 47 47 2 1 50 
V124 0 71 160 0 1.027462837 0.37416102 11 10 0 2 1 1 110 1000 7.5 49 51 8 4 10 
V125 1 67 119 67 0.019652305 -0.942515816 8.5 16 8.5 2 0 1 95 1000 8.5 54 49 6 2 3 
