 Gender(0=Male;1=Female;) Height Weight GenderxHgt HeightZ WeightZ Shoe_Size Shoe_Number GenderxShoe_Size Year(1=Fresh;2=Soph;3=Jun;4=Sen;5=V5;) Pets Sibs Speed Cash Sleep Mother_age Father_age Random_Number Love(0=V0;1=V1;2=few;3=dozens;4=hundreds;5=thousands;6=millions;) Charity 
V238 0 70 196 0 0.775510204 1.53026751 9.5 8 0 2 2 1 125 0 8.5 50 50 7 2 20 
V239 0 69 145 0 0.523557571 -0.107550018 6.5 4 0 2 0 2 125 0 7.5 53 55 7 2 40 
V240 0 69 150 0 0.523557571 0.053020328 10.5 6 0 3 2 2 105 103 7.5 52 53 3 1 100 
V241 1 67 120 67 0.019652305 -0.910401747 7 30 7 2 1 1 100 3 6 45 50 10 1 100 
V242 1 67 138 67 0.019652305 -0.332348502 9.5 10 9.5 2 2 4 100 15 7.5 49 53 8 2 0 
V243 1 64 160 64 -0.736205593 0.37416102 8.5 9 8.5 2 0 3 60 8 6.5 45 50 7 2 10 
V244 1 64 135 64 -0.736205593 -0.428690709 8 17 8 2 9 4 100 17 5.5 50 52 4 1 97 
V245 1 63 140 63 -0.988158226 -0.268120364 4.5 30 4.5 2 3 3 120 3 6.5 46 47 5 2 0 
V246 1 64 112 64 -0.736205593 -1.1673143 7 18 7 2 3 1 100 90 7.5 53 48 7 2 20 
V247 0 71 200 0 1.027462837 1.658723787 11.5 3 0 3 28 2 100 3 6.5 48 48 7 1 0 
V248 1 63 168 63 -0.988158226 0.631073573 6.5 8 6.5 2 1 4 80 2 6 54 50 7 5 20 
V249 0 67 140 0 0.019652305 -0.268120364 10.5 2 0 2 3 2 70 85 7 50 63 7 3 40 
V250 0 69 160 0 0.523557571 0.37416102 10 5 0 2 1 2 90 10 8 49 47 6 6 30 
V251 0 65 125 0 -0.48425296 -0.749831401 9 6 0 3 1 2 47 20 7 37 37 2 4 10 
V252 1 60 127 60 -1.744016125 -0.685603263 5.5 21 5.5 2 0 1 20 8 7 51 55 6 1 20 
V253 0 73 130 0 1.531368103 -0.589261055 9.5 4 0 2 0 0 100 80 6 51 53 7 2 90 
V254 0 66 160 0 -0.232300328 0.37416102 9.5 5 0 2 5 2 95 10 6.5 47 50 1 2 100 
V255 0 70 165 0 0.775510204 0.534731366 12 6 0 2 1 3 92 0 6 49 50 9 1 100 
V256 1 64 135 64 -0.736205593 -0.428690709 8.5 20 8.5 2 2 1 85 40 7 52 55 4 4 75 
V257 0 71 180 0 1.027462837 1.016442403 11.5 4 0 2 0 3 105 0 8 49 49 9 6 10 
V258 1 66 120 66 -0.232300328 -0.910401747 8.5 15 8.5 2 1 1 100 30 6.5 49 49 7 2 75 
V259 1 60 105 60 -1.744016125 -1.392112785 5.5 50 5.5 2 30 4 111 22 5 55 58 3 3 75 
V260 1 62 175 62 -1.240110859 0.855872058 8 40 8 2 0 3 40 9 8 45 46 7 2 8 
V261 0 71 155 0 1.027462837 0.213590674 10.5 10 0 2 1 1 90 10 7 49 57 7 2 0 
V262 1 63 135 63 -0.988158226 -0.428690709 7.5 18 7.5 2 6 1 90 60 7 54 56 8 1 50 
V263 1 64 127 64 -0.736205593 -0.685603263 7.5 20 7.5 2 0 2 90 150 7 47 54 7 2 15 
V264 1 62 141 62 -1.240110859 -0.236006294 9 20 9 2 4 3 36 0 6 51 64 6 1 20 
V265 0 66 122 0 -0.232300328 -0.846173609 8.5 3 0 2 7 3 120 0 5.5 49 49 2 4 5 
V266 1 61 140 61 -1.492063492 -0.268120364 8.5 30 8.5 3 8 1 100 35 8 38 47 1 2 50 
V267 1 63 117 63 -0.988158226 -1.006743955 8 20 8 3 2 2 90 10 7 49 48 4 2 75 
V268 1 68 120 68 0.271604938 -0.910401747 8 21 8 2 5 2 90 14 6.5 53 56 7 2 70 
V269 1 64 135 64 -0.736205593 -0.428690709 8.5 15 8.5 3 0 2 30 15 8.5 46 47 5 6 100 
V270 1 67 125 67 0.019652305 -0.749831401 9 12 9 2 0 4 95 6 9 42 46 6 3 50 
V271 0 69 180 0 0.523557571 1.016442403 8 2 0 2 0 1 35 120 8 50 57 8 1 15 
V272 1 67 135 67 0.019652305 -0.428690709 8 17 8 2 2 1 70 25 7 50 50 9 1 75 
V273 1 67 122 67 0.019652305 -0.846173609 8 20 8 2 4 2 80 2 7 55 55 6 1 80 
V274 0 74 210 0 1.783320736 1.979864479 12 4 0 3 3 2 95 20 8 60 63 5 1 100 
V275 0 67 126 0 0.019652305 -0.717717332 10.5 5 0 2 1 2 105 0 8.5 51 52 9 2 75 
V276 1 62 140 62 -1.240110859 -0.268120364 8.5 35 8.5 2 9 4 85 5 7.5 43 59 7 2 95 
V277 1 67 170 67 0.019652305 0.695301712 10 4 10 2 6 4 60 0 7 47 53 3 2 25 
V278 1 64 160 64 -0.736205593 0.37416102 6.5 25 6.5 3 1 0 90 1 7 54 55 2 0 40 
V279 1 66 149 66 -0.232300328 0.020906259 7.5 50 7.5 4 1 0 101 26 7.5 47 49 7 2 3 
V280 1 64 143 64 -0.736205593 -0.171778156 8 20 8 3 3 4 110 17 6.5 44 43 2 2 32 
V281 1 64 130 64 -0.736205593 -0.589261055 9 5 9 2 8 3 90 5 5.5 40 44 3 2 60 
V282 1 64 110 64 -0.736205593 -1.231542439 8 12 8 2 2 1 92 20 7 50 56 9 3 50 
V283 1 66 123 66 -0.232300328 -0.814059539 8.5 20 8.5 2 1 2 120 0 6 56 59 7 2 60 
V284 1 67 135 67 0.019652305 -0.428690709 8.5 35 8.5 2 2 2 95 2 7 47 48 9 2 50 
V285 1 64 110 64 -0.736205593 -1.231542439 7.5 20 7.5 2 0 3 75 60 7.5 57 62 1 1 100 
V286 1 69 148 69 0.523557571 -0.01120781 10 18 10 2 1 3 85 25 6 52 65 4 2 20 
V287 0 75 185 0 2.035273369 1.177012749 12 4 0 2 4 1 90 20 6 36 42 5 1 45 
V288 0 73 162 0 1.531368103 0.438389158 11.5 2 0 2 0 2 95 92 6 57 58 6 3 100 
V289 1 63 140 63 -0.988158226 -0.268120364 8 10 8 2 0 2 90 100 7.5 50 51 7 3 90 
V290 1 65 130 65 -0.48425296 -0.589261055 8.5 10 8.5 2 3 3 100 12 8 53 53 7 2 100 
V291 0 71 190 0 1.027462837 1.337583095 12 5 0 2 2 1 90 14 8.5 48 50 9 4 10 
V292 1 67 120 67 0.019652305 -0.910401747 9.5 24 9.5 2 1 2 70 0 7 48 48 5 1 0 
V293 0 74 175 0 1.783320736 0.855872058 12 12 0 2 0 1 90 0 9 49 60 7 3 50 
V294 1 63 108 63 -0.988158226 -1.295770577 6 10 6 2 1 1 45 8 7 54 55 8 3 25 
V295 0 71 295 0 1.027462837 4.709560358 13 4 0 3 0 3 40 3 8 48 50 8 2 75 
V296 1 64 163 64 -0.736205593 0.470503227 8.5 26 8.5 2 3 1 80 36 7.5 45 45 7 2 90 
V297 1 66 100 66 -0.232300328 -1.55268313 7.5 20 7.5 4 1 0 100 1000 7.5 46 50 6 2 50 
V298 1 65 128 65 -0.48425296 -0.653489194 7 30 7 2 2 1 95 25 7 51 48 7 1 50 
V299 1 59 130 59 -1.995968758 -0.589261055 6 21 6 4 2 4 33 2 5 55 54 8 2 40 
V300 1 67 134 67 0.019652305 -0.460804779 9 20 9 1 0 1 72 30 6.5 51 50 7 2 25 
V301 1 66 140 66 -0.232300328 -0.268120364 9 20 9 2 3 1 128 300 6.5 54 52 7 2 75 
V302 1 64 132 64 -0.736205593 -0.525032917 7 25 7 2 0 1 90 35 7 52 52 7 1 80 
V303 1 60 119 60 -1.744016125 -0.942515816 6.5 15 6.5 2 3 2 85 100 10 48 52 6 1 90 
V304 1 64 130 64 -0.736205593 -0.589261055 7.5 12 7.5 2 1 1 90 0 7.5 54 56 2 2 80 
V305 1 61 102 61 -1.492063492 -1.488454992 7.5 11 7.5 2 1 1 75 13 7 52 52 8 2 49 
V306 1 63 130 63 -0.988158226 -0.589261055 7.5 15 7.5 2 0 3 95 0 8 48 48 8 2 50 
V307 1 63 132 63 -0.988158226 -0.525032917 7 12 7 3 4 2 80 0 8.5 43 51 3 2 60 
V308 1 66 128 66 -0.232300328 -0.653489194 8 20 8 2 5 4 90 80 6.5 49 51 2 2 75 
V309 0 71 170 0 1.027462837 0.695301712 10.5 10 0 2 7 1 105 45 6 52 53 7 5 20 
V310 0 69 155 0 0.523557571 0.213590674 9 6 0 2 0 2 100 50 7 60 56 5 5 50 
V311 0 74 170 0 1.783320736 0.695301712 11.5 3 0 2 0 2 200 0 8 45 45 8 1 50 
V312 1 62 130 62 -1.240110859 -0.589261055 6.5 24 6.5 2 3 2 90 0 7.5 50 49 4 3 95 
V313 1 71 112 71 1.027462837 -1.1673143 12 12 12 2 12 12 112 12 12 47 49 2 3 12 
V314 1 64 104 64 -0.736205593 -1.424226854 7 15 7 2 1 0 35 12 8.5 40 50 6 2 100 
V315 0 73 175 0 1.531368103 0.855872058 10.5 4 0 2 3 1 100 60 6 42 50 4 2 10 
V316 1 66 139 66 -0.232300328 -0.300234433 8 25 8 3 3 2 75 0 7 59 54 3 5 90 
V317 0 73 185 0 1.531368103 1.177012749 12 8 0 2 8 1 118 80 6 51 58 4 1 75 
V318 1 63 125 63 -0.988158226 -0.749831401 9 15 9 3 3 2 90 0 7.5 50 54 7 4 50 
V319 1 66 132 66 -0.232300328 -0.525032917 7 20 7 2 9 1 90 105 6 43 50 4 2 100 
V320 1 62 106 62 -1.240110859 -1.359998715 6.5 12 6.5 2 0 3 90 15 6 47 48 9 2 100 
V321 0 72 160 0 1.27941547 0.37416102 9.5 5 0 2 3 3 105 27 8.5 54 57 2 5 100 
V322 0 70 180 0 0.775510204 1.016442403 10.5 9 0 2 3 2 93 80 7.5 46 53 1 3 92 
V323 0 74 213 0 1.783320736 2.076206686 12 6 0 2 5 3 110 0 7 46 46 9 2 50 
V324 1 64 155 64 -0.736205593 0.213590674 8 8 8 3 0 1 80 40 8.5 47 52 3 2 20 
V325 1 64 182 64 -0.736205593 1.080670542 10 20 10 2 0 2 75 4 6 52 55 7 1 25 
V326 1 64 135 64 -0.736205593 -0.428690709 9 10 9 2 2 2 85 25 6 50 50 7 2 50 
V327 1 67 130 67 0.019652305 -0.589261055 8.5 25 8.5 2 1 1 90 500 6.5 49 51 8 2 20 
V328 0 72 168 0 1.27941547 0.631073573 10.5 4 0 3 2 2 108 83 5.5 50 50 10 6 100 
V329 0 72 185 0 1.27941547 1.177012749 11.5 11 0 4 0 2 109 11 6 58 61 9 1 100 
V330 1 63 125 63 -0.988158226 -0.749831401 7 50 7 2 0 1 80 100 7 44 51 5 1 100 
V331 1 69 129 69 0.523557571 -0.621375124 8.5 15 8.5 2 1 1 106 20 6 54 54 3 2 35 
V332 0 71 185 0 1.027462837 1.177012749 12 5 0 2 4 2 125 700 7 57 55 8 0 10 
V333 0 70 175 0 0.775510204 0.855872058 12 3 0 3 1 1 84 2 8 49 54 2 3 100 
V334 0 72 165 0 1.27941547 0.534731366 11 21 0 4 0 1 120 0 5 52 60 1 3 51 
V335 1 64 125 64 -0.736205593 -0.749831401 7.5 10 7.5 2 0 3 90 20 7 51 57 9 1 50 
V336 1 69 138 69 0.523557571 -0.332348502 7.5 30 7.5 3 0 1 95 9 7.5 47 51 9 2 95 
V337 1 63 110 63 -0.988158226 -1.231542439 6.5 9 6.5 2 0 1 20 10 7 48 52 9 2 20 
V338 1 66 145 66 -0.232300328 -0.107550018 8.5 15 8.5 2 5 1 65 30 7 42 55 7 2 30 
V339 1 61 104 61 -1.492063492 -1.424226854 6.5 5 6.5 2 1 2 60 40 10 50 51 4 1 10 
V340 1 65 127 65 -0.48425296 -0.685603263 8.5 6 8.5 2 30 5 102 60 4.5 47 56 6 1 75 
V341 1 65 130 65 -0.48425296 -0.589261055 7.5 5 7.5 3 1 1 92 4 6 48 50 5 2 6 
V342 1 67 130 67 0.019652305 -0.589261055 9 15 9 4 3 1 100 100 7.5 49 52 4 1 50 
V343 1 62 122 62 -1.240110859 -0.846173609 7.5 8 7.5 3 1 2 70 60 4 54 52 9 2 50 
V344 1 60 103 60 -1.744016125 -1.456340923 5 22 5 2 0 1 90 40 6.5 54 60 8 2 80 
V345 1 69 160 69 0.523557571 0.37416102 9 55 9 2 3 2 110 46 6.5 38 40 8 2 10 
V346 1 65 120 65 -0.48425296 -0.910401747 9.5 19 9.5 2 3 1 95 2 9 47 55 9 3 10 
V347 0 73 165 0 1.531368103 0.534731366 10.5 5 0 2 0 1 102 20 6 54 57 5 2 25 
V348 0 70 190 0 0.775510204 1.337583095 11 5 0 3 4 0 102 1 7.5 47 53 4 5 0 
V349 1 67 160 67 0.019652305 0.37416102 8.5 18 8.5 2 0 2 78 26 7 51 56 7 4 75 
V350 1 63 145 63 -0.988158226 -0.107550018 8 10 8 2 3 2 80 0 8 43 45 7 2 50 
V351 1 69 132 69 0.523557571 -0.525032917 10 30 10 3 1 1 90 60 6 48 53 7 2 7 
V352 1 68 136 68 0.271604938 -0.39657664 9.5 20 9.5 2 5 0 90 0 5 50 55 8 2 50 
V353 0 71 225 0 1.027462837 2.461575516 11.5 3 0 2 4 1 100 93 7 49 50 2 3 100 
V354 1 66 146 66 -0.232300328 -0.075435948 9 10 9 2 2 1 90 40 7 45 46 8 2 50 
V355 1 68 145 68 0.271604938 -0.107550018 9.5 20 9.5 3 5 0 90 0 8 44 45 4 2 50 
V356 1 65 118 65 -0.48425296 -0.974629885 8 23 8 1 1 1 95 23 7 54 58 5 2 50 
V357 1 64 110 64 -0.736205593 -1.231542439 5.5 40 5.5 2 1 2 100 80 6 53 58 6 1 98 
V358 1 68 120 68 0.271604938 -0.910401747 9 20 9 2 4 3 95 13 7 50 51 9 2 70 
V359 0 67 157 0 0.019652305 0.277818812 11.5 3 0 2 2 2 110 27 8.5 48 52 6 4 100 
V360 1 60 128 60 -1.744016125 -0.653489194 7 12 7 2 1 1 80 40 7 52 53 5 2 10 
V361 1 60 100 60 -1.744016125 -1.55268313 4 30 4 2 2 2 75 20 7 53 53 6 1 10 
V362 1 62 93 62 -1.240110859 -1.777481615 5 12 5 2 3 2 110 60 5 48 49 9 1 100 
V363 1 70 180 70 0.775510204 1.016442403 12 9 12 2 10 3 90 6 7.5 42 41 7 1 100 
V364 1 70 148 70 0.775510204 -0.01120781 11 20 11 2 1 1 90 35 8 51 53 9 1 99 
V365 0 69 159 0 0.523557571 0.342046951 10.5 10 0 2 0 1 109 60 7 49 58 8 2 99 
V366 1 63 160 63 -0.988158226 0.37416102 5.5 20 5.5 3 3 0 110 1 6.5 45 43 4 1 90 
V367 0 71 180 0 1.027462837 1.016442403 12 5 0 2 4 5 98 2 6.5 38 37 5 2 9 
V368 1 63 110 63 -0.988158226 -1.231542439 7 15 7 2 5 6 95 15 7 59 57 9 2 40 
V369 1 62 100 62 -1.240110859 -1.55268313 6 10 6 2 16 5 130 50 6 52 51 8 5 25 
V370 1 66 150 66 -0.232300328 0.053020328 9.5 10 9.5 2 8 2 90 0 7 45 47 10 6 35 
V371 0 66 125 0 -0.232300328 -0.749831401 8.5 4 0 2 0 2 90 40 7 48 48 5 1 30 
V372 1 67 120 67 0.019652305 -0.910401747 8.5 82 8.5 2 10 1 90 150 8 51 56 3 2 100 
V373 1 66 118 66 -0.232300328 -0.974629885 9 12 9 4 0 1 90 40 7 43 52 9 3 80 
V374 1 61 120 61 -1.492063492 -0.910401747 7.5 11 7.5 2 0 3 85 2 6 56 56 5 1 100 
V375 1 63 123 63 -0.988158226 -0.814059539 7 87 7 3 0 4 90 0 7 46 49 4 6 55 
V376 0 68 145 0 0.271604938 -0.107550018 10.5 6 0 2 0 1 92 30 7 59 61 10 6 100 
V377 1 64 140 64 -0.736205593 -0.268120364 7 15 7 2 5 2 98 11 6 52 52 5 1 50 
V378 0 69 177 0 0.523557571 0.920100196 11 10 0 3 0 2 200 3 5 50 51 7 2 10 
V379 0 74 250 0 1.783320736 3.264427246 13 4 0 2 20 2 105 15 6 51 51 7 2 40 
V380 0 74 180 0 1.783320736 1.016442403 11.5 7 0 3 2 1 130 20 8 45 55 2 2 90 
V381 1 59 100 59 -1.995968758 -1.55268313 6.5 17 6.5 2 2 1 80 30 7.5 52 61 8 2 70 
V382 1 62 143 62 -1.240110859 -0.171778156 7 20 7 2 2 1 60 75 6.5 52 56 3 2 3 
V383 1 64 105 64 -0.736205593 -1.392112785 7.5 28 7.5 2 5 1 100 600 8 46 50 2 2 15 
V384 0 75 275 0 2.035273369 4.067278975 15 12 0 4 6 5 120 104 6.5 58 65 4 2 60 
V385 1 68 148 68 0.271604938 -0.01120781 8 15 8 2 8 2 85 15 7 49 55 2 2 25 
V386 1 65 150 65 -0.48425296 0.053020328 8 10 8 2 1 1 90 13 7 46 50 8 2 50 
V387 0 70 166 0 0.775510204 0.566845435 10 10 0 2 1 2 98 1 8 56 55 6 3 100 
V388 0 68 190 0 0.271604938 1.337583095 10.5 3 0 2 0 1 110 150 8 51 50 2 0 0 
V389 1 62 114 62 -1.240110859 -1.103086162 6 9 6 3 1 1 20 22 6 54 54 8 2 98 
V390 1 64 140 64 -0.736205593 -0.268120364 8.5 60 8.5 2 0 2 85 4 7 47 56 7 1 80 
V391 1 64 120 64 -0.736205593 -0.910401747 7 15 7 2 1 3 92 3 4 59 58 1 2 10 
V392 0 72 183 0 1.27941547 1.112784611 10.5 4 0 2 2 3 94 41 6 47 48 7 3 12 
V393 0 67 175 0 0.019652305 0.855872058 9.5 8 0 3 15 4 115 80 6 40 41 3 5 30 
V394 1 68 151 68 0.271604938 0.085134397 9 18 9 2 2 1 110 5 5.5 51 50 7 1 0 
V395 1 60 95 60 -1.744016125 -1.713253476 7.5 10 7.5 2 1 2 70 100 7 51 51 7 2 30 
V396 0 70 165 0 0.775510204 0.534731366 9 8 0 4 5 1 120 0 6 55 60 3 0 30 
V397 0 74 165 0 1.783320736 0.534731366 11.5 4 0 2 0 2 95 300 6 58 55 5 6 100 
V398 0 72 160 0 1.27941547 0.37416102 11 10 0 2 1 2 100 25 7 39 55 5 2 40 
V399 0 76 240 0 2.287226002 2.943286554 13 2 0 3 6 2 120 20 5 39 40 5 0 5 
V400 1 62 120 62 -1.240110859 -0.910401747 6.5 30 6.5 2 2 1 75 30 8 55 50 5 2 50 
V401 0 72 160 0 1.27941547 0.37416102 12 4 0 2 1 1 80 18 8 52 55 2 5 100 
V402 1 68 132 68 0.271604938 -0.525032917 7 21 7 2 0 2 100 0 8 56 56 1 6 100 
V403 1 66 140 66 -0.232300328 -0.268120364 7.5 11 7.5 2 3 0 91 14 7 52 53 7 2 70 
V404 1 63 130 63 -0.988158226 -0.589261055 7.5 35 7.5 2 2 1 120 20 7.5 59 55 3 2 35 
V405 1 59 120 59 -1.995968758 -0.910401747 6 20 6 2 6 2 90 61 7 42 52 1 2 20 
V406 1 66 170 66 -0.232300328 0.695301712 8.5 45 8.5 2 1 0 80 120 7.5 41 46 7 2 75 
V407 1 66 125 66 -0.232300328 -0.749831401 9 12 9 3 2 2 90 0 8 49 52 7 3 30 
V408 1 61 127 61 -1.492063492 -0.685603263 5 10 5 2 4 1 95 0 7 56 60 3 4 50 
V409 1 61 107 61 -1.492063492 -1.327884646 6.5 18 6.5 4 11 4 109 73 4 40 42 7 2 95 
V410 1 64 120 64 -0.736205593 -0.910401747 7 12 7 2 2 0 148 150 6.5 49 51 6 1 80 
V411 1 68 150 68 0.271604938 0.053020328 9 13 9 2 3 3 90 33 8 47 47 7 6 50 
V412 1 65 130 65 -0.48425296 -0.589261055 8 6 8 2 1 2 72 0 7.5 53 53 4 3 55 
V413 1 70 150 70 0.775510204 0.053020328 10 30 10 2 1 0 90 5 7 58 60 6 2 25 
V414 0 73 167 0 1.531368103 0.598959504 10.5 10 0 3 1 3 100 2 6.5 51 53 3 1 100 
V415 1 69 140 69 0.523557571 -0.268120364 10 14 10 3 6 1 110 25 7 53 55 8 3 50 
V416 1 68 145 68 0.271604938 -0.107550018 11 10 11 2 3 1 103 39 8 46 48 1 3 68 
V417 1 66 180 66 -0.232300328 1.016442403 9 20 9 2 10 3 80 20 8.5 49 49 7 2 100 
V418 0 73 180 0 1.531368103 1.016442403 12 3 0 1 3 1 100 50 8 45 50 2 4 20 
V419 0 67 185 0 0.019652305 1.177012749 10.5 12 0 2 3 2 120 45 6.5 52 55 5 3 20 
V420 1 65 135 65 -0.48425296 -0.428690709 7.5 10 7.5 2 4 0 100 1 7 50 46 4 2 50 
V421 0 73 190 0 1.531368103 1.337583095 11.5 4 0 4 4 3 110 20 8 46 49 1 2 30 
V422 1 62 95 62 -1.240110859 -1.713253476 5 15 5 2 0 3 90 12 9 53 62 6 2 3 
V423 0 68 132 0 0.271604938 -0.525032917 10 2 0 2 1 1 100 70 7.5 45 49 7 6 40 
V424 0 76 225 0 2.287226002 2.461575516 13 12 0 3 3 2 115 150 8 40 39 6 2 25 
V425 0 66 155 0 -0.232300328 0.213590674 9.5 3 0 2 0 1 90 2 7 51 53 2 5 97 
V426 1 62 124 62 -1.240110859 -0.78194547 7 56 7 4 2 0 100 35 8 59 65 7 2 85 
V427 0 75 190 0 2.035273369 1.337583095 12 8 0 2 0 1 135 7 7 43 47 4 1 75 
V428 1 61 155 61 -1.492063492 0.213590674 7.5 15 7.5 2 4 0 90 0 5.5 55 47 7 2 95 
V429 0 70 180 0 0.775510204 1.016442403 10.5 7 0 3 2 2 117 87 6 51 51 9 2 10 
V430 1 64 113 64 -0.736205593 -1.135200231 9 12 9 2 2 0 80 60 4.5 44 47 4 2 30 
V431 0 66 135 0 -0.232300328 -0.428690709 9 12 0 4 3 3 110 101 7 43 43 2 2 10 
V432 0 66 150 0 -0.232300328 0.053020328 10 6 0 2 0 2 100 15 7 60 65 4 2 12 
V433 1 61 127 61 -1.492063492 -0.685603263 6.5 30 6.5 2 1 2 90 15 5.5 55 58 6 2 95 
V434 0 72 182 0 1.27941547 1.080670542 11.5 5 0 2 1 3 115 10 8 51 53 7 3 100 
V435 0 71 195 0 1.027462837 1.498153441 11 16 0 3 0 2 110 12 5.5 53 53 4 2 25 
V436 0 67 150 0 0.019652305 0.053020328 9.5 15 0 2 0 1 70 30 7 51 55 7 6 50 
V437 1 64 125 64 -0.736205593 -0.749831401 7.5 15 7.5 2 4 2 90 7 7 46 48 3 2 75 
V438 0 72 150 0 1.27941547 0.053020328 10 10 0 2 0 0 90 20 6 50 50 7 3 50 
V439 1 63 125 63 -0.988158226 -0.749831401 7 20 7 2 4 3 60 30 6.5 42 42 4 1 75 
V440 1 65 132 65 -0.48425296 -0.525032917 7.5 15 7.5 2 2 4 100 2 7.5 46 46 4 4 20 
V441 1 68 125 68 0.271604938 -0.749831401 10.5 15 10.5 4 3 6 100 4 6.5 57 53 7 5 10 
V442 1 63 185 63 -0.988158226 1.177012749 10 6 10 2 0 0 75 15 6.5 43 51 7 2 50 
V443 1 66 185 66 -0.232300328 1.177012749 10.5 7 10.5 2 7 1 100 34 7 53 52 7 2 65 
V444 0 71 175 0 1.027462837 0.855872058 11.5 5 0 2 2 1 110 30 7 38 40 9 2 25 
V445 0 72 175 0 1.27941547 0.855872058 12 4 0 3 15 2 105 0 7 49 48 4 2 77 
V446 0 69 200 0 0.523557571 1.658723787 9.5 3 0 3 10 3 105 3 6.5 55 58 8 5 70 
V447 1 70 155 70 0.775510204 0.213590674 11 6 11 3 0 1 85 10 8 56 52 3 1 80 
V448 0 70 192 0 0.775510204 1.401811234 10.5 5 0 2 4 8 100 45 7.5 51 53 4 1 50 
V449 1 74 299 74 1.783320736 4.838016635 13 5 13 3 13 1 91 3 4 45 46 8 1 75 
V450 0 75 165 0 2.035273369 0.534731366 11 6 0 2 0 2 110 20 9 49 49 7 5 0 
V451 1 63 125 63 -0.988158226 -0.749831401 6.5 5 6.5 3 6 2 80 10 5 45 42 8 3 40 
V452 1 64 145 64 -0.736205593 -0.107550018 8.5 27 8.5 2 0 3 100 40 9 50 49 8 3 75 
V453 0 70 163 0 0.775510204 0.470503227 10 6 0 3 1 0 110 50 7 53 57 10 1 85 
V454 0 72 180 0 1.27941547 1.016442403 11 13 0 2 13 3 86 0 9 51 59 8 3 50 
V455 0 77 178 0 2.539178634 0.952214265 13.5 14 0 2 4 1 124 140 8 48 48 7 3 20 
V456 1 64 125 64 -0.736205593 -0.749831401 7 30 7 2 0 2 90 10 7 42 44 8 1 30 
V457 1 61 125 61 -1.492063492 -0.749831401 7.5 20 7.5 1 2 2 90 300 6.5 54 58 7 2 75 
V458 0 75 178 0 2.035273369 0.952214265 12 6 0 2 0 2 85 130 6 47 49 7 3 60 
V459 1 68 190 68 0.271604938 1.337583095 10 15 10 2 1 2 85 10 6.5 52 53 9 2 30 
V460 0 73 210 0 1.531368103 1.979864479 13 12 0 2 2 1 95 100 8 44 50 8 4 70 
V461 0 66 148 0 -0.232300328 -0.01120781 8.5 6 0 2 2 0 110 0 7 47 48 10 5 15 
V462 0 76 220 0 2.287226002 2.30100517 15 4 0 2 1 2 92 47 7 52 55 7 2 40 
V463 0 71 180 0 1.027462837 1.016442403 11 5 0 2 2 1 100 90 5 55 57 3 2 100 
V464 1 64 115 64 -0.736205593 -1.070972093 7 20 7 2 1 1 90 120 6 52 53 8 1 70 
V465 0 71 200 0 1.027462837 1.658723787 11 5 0 4 0 3 100 17 8 43 47 3 2 60 
V466 1 63 140 63 -0.988158226 -0.268120364 7.5 5 7.5 2 4 3 90 0 6 44 41 9 1 10 
V467 1 62 123 62 -1.240110859 -0.814059539 8.5 20 8.5 2 0 2 90 21 6.5 48 50 4 2 20 
V468 1 65 105 65 -0.48425296 -1.392112785 7 7 7 2 2 5 110 37 6.5 42 65 3 1 100 
V469 1 67 169 67 0.019652305 0.663187643 9 10 9 2 0 1 100 15 6 46 55 3 4 10 
V470 1 62 127 62 -1.240110859 -0.685603263 7.5 25 7.5 2 3 5 90 23 5.5 44 44 4 2 45 
V471 0 72 161 0 1.27941547 0.406275089 12 2 0 2 4 3 100 0 8 48 50 7 1 100 
V472 1 64 122 64 -0.736205593 -0.846173609 7 20 7 2 2 3 90 14 6 43 35 5 2 60 
V473 0 76 180 0 2.287226002 1.016442403 11.5 5 0 2 1 2 90 50 7 57 64 8 3 50 
V474 1 70 145 70 0.775510204 -0.107550018 10 13 10 2 4 1 94 21 7 48 52 2 2 25 
V475 1 66 95 66 -0.232300328 -1.713253476 6 12 6 2 1 0 80 10 8 46 44 7 1 70 
V476 0 76 184 0 2.287226002 1.14489868 13 12 0 4 3 2 100 61 7 52 52 8 1 50 
V477 1 62 109 62 -1.240110859 -1.263656508 7.5 12 7.5 2 1 2 109 10 6.5 50 59 3 1 92 
V478 0 73 158 0 1.531368103 0.309932882 11 10 0 2 1 2 102 53 7.5 50 56 7 4 50 
V479 1 67 130 67 0.019652305 -0.589261055 8.5 20 8.5 2 0 1 90 35 8 46 45 3 3 85 
V480 1 65 129 65 -0.48425296 -0.621375124 8 22 8 2 5 1 85 22 7 49 49 3 4 10 
V481 0 68 147 0 0.271604938 -0.043321879 10 5 0 2 2 4 130 60 6 50 56 6 1 50 
V482 1 66 120 66 -0.232300328 -0.910401747 7.5 10 7.5 2 4 1 90 20 8 53 53 10 2 3 
V483 0 74 215 0 1.783320736 2.140434824 12.5 10 0 2 10 2 100 150 7 51 53 9 6 0 
V484 1 66 120 66 -0.232300328 -0.910401747 8 6 8 3 10 2 50 7 7 48 43 8 1 50 
V485 1 63 115 63 -0.988158226 -1.070972093 8.5 10 8.5 2 5 2 90 0 8 61 56 10 2 20 
V486 1 66 118 66 -0.232300328 -0.974629885 7.5 25 7.5 2 6 3 85 20 7.5 49 57 6 2 50 
V487 1 64 120 64 -0.736205593 -0.910401747 7.5 25 7.5 4 1 1 90 19 8 49 47 1 2 25 
